02.a	25
02.b	28
02.f	50
03.4a	15
03.4b	35
03.4c	20
03.4e	36.76099014
05.1b	50
05.2a	25
05.2b	20
05.2c	35
05.4a	26.84565735
05.4b	26.84565735
05.8d	50
05.8f	20
05.8g	18
05.8h	35
05.8i	35
05.8j	18
06.e	50
06.k	35
08.2l	28
08.2q	35
08.2g	47.76856613
08.2r	20
